업태구분명,소재지전체주소
호프/통닭,서울특별시 종로구 낙원동 198 금강빌딩 
호프/통닭,서울특별시 종로구 명륜2가 184 
호프/통닭,서울특별시 종로구 명륜4가 11-2 
호프/통닭,서울특별시 종로구 종로3가 132-1 
호프/통닭,서울특별시 종로구 무악동 89 경희궁 롯데캐슬 
호프/통닭,서울특별시 종로구 묘동 175 이화빌딩 
통닭(치킨),서울특별시 종로구 인사동 208-0 
호프/통닭,서울특별시 종로구 관수동 120번지 
호프/통닭,서울특별시 종로구 관철동 6-6 
호프/통닭,서울특별시 종로구 숭인동 1368 숭인한성아펠시티 
호프/통닭,서울특별시 종로구 숭인동 201-4 
호프/통닭,서울특별시 종로구 관철동 13-9번지 
호프/통닭,서울특별시 종로구 관철동 19-6 
호프/통닭,서울특별시 종로구 동숭동 1-65번지 
호프/통닭,서울특별시 종로구 익선동 106-0번지 
호프/통닭,서울특별시 종로구 송월동 60-5번지 
호프/통닭,서울특별시 종로구 무악동 67-2번지 
호프/통닭,서울특별시 종로구 인사동 37번지 3층 
호프/통닭,서울특별시 종로구 혜화동 143-2번지 
호프/통닭,서울특별시 종로구 동숭동 1-35번지 지상4층 
호프/통닭,서울특별시 종로구 낙원동 227번지 
호프/통닭,서울특별시 종로구 돈의동 153번지 
통닭(치킨),서울특별시 종로구 체부동 39-2번지 지상1층 
호프/통닭,서울특별시 종로구 교북동 75번지 
호프/통닭,서울특별시 종로구 효제동 174-2 
통닭(치킨),서울특별시 종로구 명륜2가 21-18번지 지상1층 
호프/통닭,서울특별시 종로구 돈의동 107번지 (지상1층) 
호프/통닭,서울특별시 종로구 관철동 14-3번지 
호프/통닭,서울특별시 종로구 낙원동 159번지 지상1층 
호프/통닭,서울특별시 종로구 당주동 160-0 변호사회관 지하동 1-33호
호프/통닭,서울특별시 종로구 종로4가 59-2번지 
호프/통닭,서울특별시 종로구 관철동 43-7 지상2층 
호프/통닭,서울특별시 종로구 창신동 561-2번지 
호프/통닭,서울특별시 종로구 혜화동 167-3 
호프/통닭,서울특별시 종로구 관철동 18-9 
호프/통닭,서울특별시 종로구 숭인동 313-14번지 
호프/통닭,서울특별시 종로구 돈의동 51 
호프/통닭,서울특별시 종로구 신문로1가 156-0 
호프/통닭,서울특별시 종로구 혜화동 16-9 
호프/통닭,서울특별시 종로구 사직동 304-15 
호프/통닭,서울특별시 종로구 종로1가 24번지 르메이에르종로타운1 
호프/통닭,서울특별시 종로구 종로1가 24번지 르메이에르종로타운1 
호프/통닭,서울특별시 종로구 숭인동 218 
통닭(치킨),서울특별시 종로구 숭인동 76 롯데캐슬상가 116호
호프/통닭,서울특별시 종로구 명륜3가 148-1 지상1층 
호프/통닭,서울특별시 종로구 내자동 11-1번지 
호프/통닭,서울특별시 종로구 관철동 18-9번지 18-8 
호프/통닭,서울특별시 종로구 효제동 217-0번지 
통닭(치킨),서울특별시 종로구 창신동 464-6번지 2층 
호프/통닭,서울특별시 종로구 창신동 561-1 
호프/통닭,서울특별시 종로구 신문로2가 12-5 지하1층 
호프/통닭,서울특별시 종로구 묘동 100 (지상1층) 
호프/통닭,서울특별시 종로구 통의동 66-0 
호프/통닭,서울특별시 종로구 인사동 209-0번지 
호프/통닭,서울특별시 종로구 관철동 43-6번지 
호프/통닭,서울특별시 종로구 낙원동 192번지 지상1~2층 
통닭(치킨),서울특별시 종로구 통인동 147-2 지하1층 
호프/통닭,서울특별시 종로구 명륜4가 46-1 
호프/통닭,서울특별시 종로구 인사동 102-0번지 
호프/통닭,서울특별시 종로구 관훈동 123-4 
통닭(치킨),서울특별시 종로구 재동 88번지 
호프/통닭,서울특별시 종로구 인의동 111-7 지상1층 
호프/통닭,서울특별시 종로구 창신동 534 
호프/통닭,서울특별시 종로구 종로5가 245-0번지 
호프/통닭,서울특별시 종로구 인사동 72-0번지 지상2층 
호프/통닭,서울특별시 종로구 동숭동 1-55번지 2층 
호프/통닭,서울특별시 종로구 동숭동 1-27 1.2층 
호프/통닭,서울특별시 종로구 종로1가 24 B113-5 
호프/통닭,서울특별시 종로구 종로5가 116번지 1층 
통닭(치킨),서울특별시 종로구 효제동 330 1층 
호프/통닭,서울특별시 종로구 숭인동 183-1 1층 
호프/통닭,서울특별시 종로구 익선동 166-57 1층 
호프/통닭,서울특별시 종로구 명륜2가 24-1 지상2층 
통닭(치킨),서울특별시 종로구 내자동 178-2번지 
통닭(치킨),서울특별시 종로구 통의동 67-3번지 2층 
호프/통닭,서울특별시 종로구 관철동 19-20번지 3층 
호프/통닭,서울특별시 종로구 명륜4가 113-1 지상1층 
통닭(치킨),서울특별시 종로구 효제동 318-1번지 지상1층 
호프/통닭,서울특별시 종로구 연건동 76번지 
호프/통닭,서울특별시 종로구 관철동 155 지상1층 101호
호프/통닭,서울특별시 종로구 명륜2가 216-2 지하1층 
통닭(치킨),서울특별시 종로구 명륜1가 10-27번지 지상1층 
호프/통닭,서울특별시 종로구 명륜3가 82-3 
호프/통닭,서울특별시 종로구 무악동 45-65번지 
호프/통닭,서울특별시 종로구 숭인동 72-71번지 
호프/통닭,서울특별시 종로구 관철동 13-8 1층 
호프/통닭,서울특별시 종로구 명륜4가 60-1번지 
호프/통닭,서울특별시 종로구 부암동 254-5번지 
호프/통닭,서울특별시 종로구 효제동 232 2층 
호프/통닭,서울특별시 종로구 숭인동 1081번지 
호프/통닭,서울특별시 종로구 관철동 산 19-9 5층 
호프/통닭,서울특별시 종로구 관철동 13-8 2.3.4층 
통닭(치킨),서울특별시 종로구 숭인동 313-7 외1필지 
호프/통닭,서울특별시 종로구 익선동 166-45 
호프/통닭,서울특별시 종로구 관철동 43-8번지 
호프/통닭,서울특별시 종로구 관철동 13-9 3층 
호프/통닭,"서울특별시 종로구 체부동 195번지 1,2층 "
호프/통닭,서울특별시 종로구 종로2가 102-1 2층 
호프/통닭,서울특별시 종로구 숭인동 65-12 지상1층 
호프/통닭,서울특별시 종로구 관철동 155번지 1층 102호
호프/통닭,서울특별시 종로구 부암동 263-1 1층 
호프/통닭,서울특별시 종로구 내자동 11-1번지 2층 
통닭(치킨),서울특별시 종로구 숭인동 1410번지 
호프/통닭,서울특별시 종로구 관철동 13-9 1층 
호프/통닭,서울특별시 종로구 평창동 182-2번지 지하1층 
통닭(치킨),서울특별시 종로구 명륜4가 118-9 지층 
호프/통닭,서울특별시 종로구 숭인동 1061번지 지상2층 
통닭(치킨),서울특별시 종로구 낙원동 141번지 
호프/통닭,서울특별시 종로구 관철동 19-7번지 지상1층 
호프/통닭,서울특별시 종로구 창신동 630-1번지 지하1층 
통닭(치킨),서울특별시 종로구 종로1가 24번지 르메이에르 지하1층 123호 
호프/통닭,서울특별시 종로구 관수동 43-2 (지상1층) 
호프/통닭,서울특별시 종로구 관철동 37-2 지상1층 
호프/통닭,서울특별시 종로구 돈의동 137번지 지상9층 
호프/통닭,서울특별시 종로구 돈의동 102 (지상2층) 
호프/통닭,서울특별시 종로구 숭인동 266번지 
호프/통닭,서울특별시 종로구 숭인동 1236번지 지상1층 
호프/통닭,서울특별시 종로구 공평동 130-1번지 
호프/통닭,서울특별시 종로구 창신동 583-20번지 (지상1층) 
호프/통닭,서울특별시 종로구 숭인동 81-22번지 지상2층 
통닭(치킨),서울특별시 종로구 창신동 580-1번지 지상1층 
호프/통닭,서울특별시 종로구 무악동 63-4번지 1층 7호 
호프/통닭,서울특별시 종로구 창신동 17-29 새마을금고 
호프/통닭,서울특별시 종로구 신문로1가 7-5 1층 
호프/통닭,서울특별시 종로구 명륜4가 164-1번지 
호프/통닭,서울특별시 종로구 신문로1가 238 지하1층 37호 
호프/통닭,서울특별시 종로구 통인동 76-3번지 지하1층 
호프/통닭,서울특별시 종로구 창신동 627-19번지 (지하1층) 
호프/통닭,서울특별시 종로구 효제동 233-2 1층 
호프/통닭,서울특별시 종로구 종로2가 40 1층 
호프/통닭,서울특별시 종로구 관철동 43-6번지 
통닭(치킨),서울특별시 종로구 창신동 498 지상1층 
통닭(치킨),"서울특별시 종로구 무악동 45-60번지 외2필지(45-61,45-424)지상1층 "
통닭(치킨),서울특별시 종로구 숭인동 1075 1층 
호프/통닭,서울특별시 종로구 권농동 168번지 
호프/통닭,서울특별시 종로구 관철동 19-12번지 
호프/통닭,서울특별시 종로구 명륜2가 168-1 1층 
호프/통닭,서울특별시 종로구 관수동 149-1번지 지상1층 
통닭(치킨),서울특별시 종로구 내수동 75번지 용비어천가 지상1층 105호 
호프/통닭,서울특별시 종로구 창신동 580-3 
통닭(치킨),서울특별시 종로구 명륜1가 83-5번지 
호프/통닭,서울특별시 종로구 명륜4가 85-9번지 1층 
호프/통닭,서울특별시 종로구 돈의동 93-6번지 
호프/통닭,서울특별시 종로구 창신동 643번지 지하1층 
호프/통닭,서울특별시 종로구 명륜3가 134-2번지 지상1층 
호프/통닭,서울특별시 종로구 부암동 258-3 
호프/통닭,서울특별시 종로구 창신동 633-6 (지하1층) 
호프/통닭,서울특별시 종로구 창신동 633-24번지 (1층) 
호프/통닭,서울특별시 종로구 평동 233번지 경희궁자이 3단지 
호프/통닭,서울특별시 종로구 종로5가 2-5 
호프/통닭,"서울특별시 종로구 낙원동 93번지 외1필지, 2층 1호"
통닭(치킨),서울특별시 종로구 숭인동 183-9 
호프/통닭,서울특별시 종로구 청진동 11-6번지 
호프/통닭,서울특별시 종로구 동숭동 1-73번지 (지상2층) 
호프/통닭,서울특별시 종로구 낙원동 202 
호프/통닭,서울특별시 종로구 청진동 191-2 
호프/통닭,서울특별시 종로구 종로5가 246-2 
호프/통닭,서울특별시 종로구 동숭동 1-100번지 3층 
호프/통닭,서울특별시 종로구 와룡동 173 1층 
호프/통닭,서울특별시 종로구 동숭동 1-78번지 지상5층 
호프/통닭,서울특별시 종로구 낙원동 161 (지하1층) 
호프/통닭,서울특별시 종로구 교남동 45-2 1층 
호프/통닭,서울특별시 종로구 동숭동 1-27 
호프/통닭,서울특별시 종로구 낙원동 218-1 지상4층 
통닭(치킨),서울특별시 종로구 통의동 49-1 
호프/통닭,서울특별시 종로구 묘동 149-1 태종빌딩 
호프/통닭,서울특별시 종로구 관철동 12-2번지 5층 
호프/통닭,서울특별시 종로구 낙원동 150-1 파고다빌딩 1층 
호프/통닭,서울특별시 종로구 체부동 190번지 
호프/통닭,서울특별시 종로구 낙원동 136번지 (지상1층) 
호프/통닭,서울특별시 종로구 돈의동 160번지 
호프/통닭,서울특별시 종로구 창신동 392-1번지 
호프/통닭,서울특별시 종로구 낙원동 121-1 지상1층 
호프/통닭,서울특별시 종로구 관훈동 198-11번지 (지상1층) 
호프/통닭,서울특별시 종로구 무악동 89 경희궁 롯데캐슬 
호프/통닭,서울특별시 종로구 명륜4가 8-1번지 
호프/통닭,서울특별시 종로구 창신동 676-1번지 
통닭(치킨),서울특별시 종로구 교남동 96번지 
통닭(치킨),서울특별시 종로구 창신동 17-12번지 지상1층 
호프/통닭,서울특별시 종로구 행촌동 171-176 
호프/통닭,서울특별시 종로구 관철동 45-2 
호프/통닭,서울특별시 종로구 무악동 46 경희궁 롯데캐슬 
호프/통닭,서울특별시 종로구 홍파동 199 경희궁자이 2단지 
호프/통닭,서울특별시 종로구 수송동 71-1 삼성빌딩 3층 
호프/통닭,서울특별시 종로구 관철동 18-8 
호프/통닭,서울특별시 종로구 관철동 12-16번지 
호프/통닭,서울특별시 종로구 창신동 651-26번지 
호프/통닭,서울특별시 종로구 낙원동 236-1번지 낙원빌딩 
호프/통닭,서울특별시 종로구 구기동 85-9 인왕빌딩 
호프/통닭,서울특별시 종로구 신문로1가 135-2 
호프/통닭,서울특별시 종로구 구기동 85-2 1층 
호프/통닭,서울특별시 종로구 수송동 58 두산위브파빌리온 
호프/통닭,서울특별시 종로구 명륜2가 34 2층 
호프/통닭,서울특별시 종로구 동숭동 1-59 1층 
호프/통닭,서울특별시 종로구 낙원동 187 대한빌딩 1층 102호
호프/통닭,서울특별시 종로구 낙원동 229 2층 
호프/통닭,서울특별시 종로구 도렴동 60번지 지하1층 16호호
통닭(치킨),서울특별시 종로구 관수동 161-12번지 지상1층 
호프/통닭,서울특별시 종로구 돈의동 37 삼창빌딩 
호프/통닭,서울특별시 종로구 낙원동 127-3 
호프/통닭,서울특별시 종로구 관철동 13-2 
호프/통닭,서울특별시 종로구 옥인동 110 
호프/통닭,서울특별시 종로구 관철동 10-23번지 1층 
호프/통닭,서울특별시 종로구 동숭동 1-63 
통닭(치킨),서울특별시 종로구 숭인동 296-21번지 
호프/통닭,서울특별시 종로구 관철동 19-1 해덕빌딩 
호프/통닭,서울특별시 종로구 창신동 23-76번지 브라운스톤 창신 
호프/통닭,서울특별시 종로구 수송동 16-1 
호프/통닭,서울특별시 종로구 창신동 81-9번지 
호프/통닭,서울특별시 종로구 창신동 23-76번지 브라운스톤 창신 
호프/통닭,서울특별시 종로구 신문로2가 25번지 
호프/통닭,서울특별시 종로구 명륜4가 61-3 
호프/통닭,서울특별시 종로구 동숭동 1-105 
호프/통닭,서울특별시 종로구 숭인동 1047 1층 
호프/통닭,서울특별시 종로구 창신동 519-1 2층 
호프/통닭,서울특별시 종로구 돈의동 37 삼창빌딩 
호프/통닭,서울특별시 종로구 창신동 212 
호프/통닭,서울특별시 종로구 창신동 213 
통닭(치킨),서울특별시 종로구 숭인동 397 1층 
호프/통닭,서울특별시 종로구 창신동 330-2 
호프/통닭,서울특별시 종로구 숭인동 326번지 이화장여관 
호프/통닭,서울특별시 종로구 행촌동 209-69 대신빌딩 1층 
호프/통닭,서울특별시 종로구 창신동 582-29 
호프/통닭,서울특별시 종로구 운니동 98-20 로얄창덕궁빌딩 702호
호프/통닭,서울특별시 종로구 관철동 19-22 
호프/통닭,서울특별시 종로구 동숭동 1-61 1층 
호프/통닭,서울특별시 종로구 관철동 18-3 
호프/통닭,서울특별시 종로구 돈의동 46-1 
호프/통닭,서울특별시 종로구 관철동 12-15번지 (3층) 
통닭(치킨),서울특별시 종로구 창신동 138-89번지 지하1층 
통닭(치킨),서울특별시 종로구 당주동 171번지 (지상1층) 
호프/통닭,서울특별시 종로구 종로5가 42-1 신화빌딩 
호프/통닭,서울특별시 종로구 내자동 197 
호프/통닭,"서울특별시 종로구 창신동 176 1,2층 "
호프/통닭,서울특별시 종로구 관철동 19-4 1~2층 
호프/통닭,서울특별시 종로구 화동 87-1 2층 
호프/통닭,서울특별시 종로구 창신동 581-21 
호프/통닭,서울특별시 종로구 숭인동 72-86 
호프/통닭,서울특별시 종로구 누하동 31 1층 
호프/통닭,"서울특별시 종로구 종로5가 398-20 1,2층 "
호프/통닭,서울특별시 종로구 낙원동 159 대원빌딩 1층 
호프/통닭,서울특별시 종로구 명륜2가 116 
호프/통닭,서울특별시 종로구 내자동 163 2층 
호프/통닭,서울특별시 종로구 창신동 302-5 
호프/통닭,서울특별시 종로구 숭인동 1263 수도회화전문확원 
호프/통닭,서울특별시 종로구 창신동 583-95번지 
호프/통닭,서울특별시 종로구 종로5가 249번지 
호프/통닭,"서울특별시 종로구 관철동 7-4 1, 2층 "
호프/통닭,서울특별시 종로구 종로5가 27-1 1층 
호프/통닭,서울특별시 종로구 창신동 406-1 2층 
호프/통닭,서울특별시 종로구 묘동 175 이화빌딩 
호프/통닭,서울특별시 종로구 청진동 165-5번지 
호프/통닭,서울특별시 종로구 관수동 21-2번지 
호프/통닭,서울특별시 종로구 혜화동 89-1 
호프/통닭,서울특별시 종로구 관훈동 155-2 
호프/통닭,서울특별시 종로구 종로5가 398-16번지 
호프/통닭,서울특별시 종로구 창신동 433-1번지 
호프/통닭,서울특별시 종로구 통의동 35-97번지 
호프/통닭,서울특별시 종로구 명륜3가 1-215번지 
호프/통닭,서울특별시 종로구 창신동 687-4 
통닭(치킨),서울특별시 종로구 동숭동 1-58 
호프/통닭,서울특별시 종로구 명륜2가 195-11번지 지상1층 
호프/통닭,서울특별시 종로구 관철동 10-2번지 
호프/통닭,서울특별시 종로구 사직동 217-1번지 
호프/통닭,서울특별시 종로구 명륜2가 143-9번지 2층 
호프/통닭,서울특별시 종로구 평창동 325 
호프/통닭,서울특별시 종로구 종로3가 6번지 
호프/통닭,서울특별시 종로구 돈의동 170-0번지 
호프/통닭,서울특별시 종로구 관철동 19-20번지 
호프/통닭,서울특별시 종로구 명륜2가 39-0번지 
호프/통닭,서울특별시 종로구 창신동 217-1번지 
호프/통닭,서울특별시 종로구 도렴동 60번지 지하1층 43호 
호프/통닭,서울특별시 종로구 숭인동 217-9번지 
호프/통닭,서울특별시 종로구 도렴동 115-4번지 
호프/통닭,서울특별시 종로구 관철동 7-17번지 
호프/통닭,서울특별시 종로구 창신동 583-6번지 
통닭(치킨),서울특별시 종로구 숭인동 202-3번지 지상1층 
호프/통닭,서울특별시 종로구 혜화동 136번지 
호프/통닭,서울특별시 종로구 교북동 12-15번지 
호프/통닭,서울특별시 종로구 낙원동 194번지 덕우빌딩 
호프/통닭,서울특별시 종로구 돈의동 152-2번지 
호프/통닭,서울특별시 종로구 동숭동 1-96번지 
호프/통닭,서울특별시 종로구 동숭동 1-48번지 
호프/통닭,서울특별시 종로구 부암동 185-5번지 
호프/통닭,서울특별시 종로구 종로3가 6번지 
호프/통닭,서울특별시 종로구 적선동 97번지 
호프/통닭,서울특별시 종로구 숭인동 65-22번지 
